House to Lot Ratio (Bottom),House to Lot Ratio (Top),Acres (Bottom),Acres (Top),VDL Sale Price (Bottom),VDL Sale Price (Top),Records Used,R^2 Test,MSE Test
0.15,0.2,0.2,0.2,0.1,0.05,14133,0.8622203929437495,3.622666643820787
0.2,0.2,0.1,0.2,0.1,0.1,13805,0.8618592134054988,3.342134341605435
0.15,0.2,0.2,0.2,0.01,0.1,13870,0.8618302983802903,3.474893607904893
0.2,0.2,0.2,0.15,0.01,0.15,13719,0.8618138712010899,3.403541095845781
0.15,0.2,0.15,0.2,0.01,0.05,14159,0.8616247226767562,3.583153153120024
0.2,0.2,0.15,0.2,0.15,0.15,13583,0.8616003608567517,3.500745938209336
0.1,0.2,0.2,0.1,0.01,0.2,13799,0.8615455279657629,4.050150100938991
0.15,0.2,0.01,0.05,0.2,0.01,14647,0.8615373771169621,3.8636683761965025
0.15,0.2,0.01,0.05,0.15,0.01,14647,0.8615373771169621,3.8636683761965025
0.2,0.2,0.15,0.05,0.1,0.15,13880,0.8614853864330687,3.3916494615439094
0.2,0.2,0.2,0.05,0.1,0.15,13880,0.8614853864330687,3.3916494615439094
0.01,0.2,0.1,0.2,0.01,0.01,14485,0.8614105526324447,4.416944203957073
0.01,0.2,0.1,0.2,0.05,0.01,14485,0.8614105526324447,4.416944203957073
0.01,0.2,0.1,0.2,0.2,0.01,14485,0.8614105526324447,4.416944203957073
0.01,0.2,0.1,0.2,0.15,0.01,14485,0.8614105526324447,4.416944203957073
0.01,0.2,0.1,0.2,0.1,0.01,14485,0.8614105526324447,4.416944203957073
0.2,0.2,0.15,0.1,0.1,0.1,14004,0.8611502293196023,3.2790857592681375
0.2,0.2,0.15,0.1,0.15,0.1,14004,0.8611502293196023,3.2790857592681375
0.15,0.2,0.15,0.15,0.15,0.05,14244,0.8611197147742486,3.5844953331623275
0.01,0.2,0.05,0.1,0.2,0.05,14517,0.8608518106443219,4.267509313968491
0.2,0.2,0.1,0.1,0.01,0.15,13844,0.8606485962437456,3.2958857865080406
0.15,0.2,0.1,0.2,0.15,0.15,13670,0.8606399820236157,3.890622531019345
0.1,0.2,0.1,0.2,0.2,0.1,13937,0.8605085475506922,3.8101524507299382
0.1,0.2,0.1,0.2,0.15,0.1,13937,0.8605085475506922,3.8101524507299382
0.1,0.2,0.01,0.2,0.15,0.1,13956,0.8604806730964665,3.782965939363691
0.1,0.2,0.01,0.2,0.2,0.1,13956,0.8604806730964665,3.782965939363691
0.2,0.2,0.1,0.1,0.01,0.1,14035,0.8603851206241364,3.3201637231111474
0.15,0.2,0.01,0.15,0.05,0.01,14467,0.8602442430308046,3.6279788201709224
0.15,0.2,0.01,0.15,0.1,0.01,14467,0.8602442430308046,3.6279788201709224
0.15,0.2,0.01,0.15,0.01,0.01,14467,0.8602442430308046,3.6279788201709224
