Property Address,Owner Address,Distance
"12711 GREEN ASHE DR, HUNTERSVILLE, NC 28078","12711 GREEN ASHE DR, HUNTERSVILLE, NC 28078-4505",0.0
"8609 NEW OAK LN, HUNTERSVILLE, NC 28078","8609 NEW OAK LN, HUNTERSVILLE, NC 28078-8118",0.0
"8421 BRAMFIELD DR, HUNTERSVILLE, NC 28078","8421 BRAMFIELD DR, HUNTERSVILLE, NC 28078-7813",0.0
"12727 HOLLYHOCK LN, HUNTERSVILLE, NC 28078","12727 HOLLYHOCK LN, HUNTERSVILLE, NC 28078-6860",0.0
"12133 MOONSHADOW LN, HUNTERSVILLE, NC 28078","12133 MOONSHADOW LN, HUNTERSVILLE, NC 28078-6858",0.0
"9223 AGNES PARK LN, HUNTERSVILLE, NC 28078","9223 AGNES PARK LN, HUNTERSVILLE, NC 28078-8392",0.0
"8425 SUMMERFIELD LN, HUNTERSVILLE, NC 28078","8425 SUMMERFIELD LN, HUNTERSVILLE, NC 28078-6863",0.0
"12046 CRABAPPLE LN, HUNTERSVILLE, NC 28078","12046 CRABAPPLE LN, HUNTERSVILLE, NC 28078-7333",0.0
"12112 MCINTOSH RD, HUNTERSVILLE, NC 28078","11917 CIMMARON RD, HUNTERSVILLE, NC 28078-6988",1.3
"8304 STAYMAN CT, HUNTERSVILLE, NC 28078","8304 STAYMAN CT, HUNTERSVILLE, NC 28078-9204",0.0
"8312 STAYMAN CT, HUNTERSVILLE, NC 28078","8312 STAYMAN CT, HUNTERSVILLE, NC 28078-9204",0.0
"12925 ANGEL OAK DR, HUNTERSVILLE, NC 28078","12925 ANGEL OAK DR, HUNTERSVILLE, NC 28078-9170",0.0
"8906 NEW OAK LN, HUNTERSVILLE, NC 28078","8906 NEW OAK LN, HUNTERSVILLE, NC 28078-8316",0.0
"9012 TORRENCE CROSSING DR, HUNTERSVILLE, NC 28078","9012 TORRENCE CROSSING DR, HUNTERSVILLE, NC 28078-8198",0.0
"12521 HAWKS RIDGE RD, HUNTERSVILLE, NC 28078","12521 HAWKSRIDGE RD, HUNTERSVILLE, NC 28078-8141",0.0
"8635 NEW OAK LN, HUNTERSVILLE, NC 28078","8635 NEW OAK LN, HUNTERSVILLE, NC 28078-8118",0.0
"12822 ANGEL OAK DR, HUNTERSVILLE, NC 28078","12822 ANGEL OAK DR, HUNTERSVILLE, NC 28078-7853",0.0
"8522 SUMMERFIELD LN, HUNTERSVILLE, NC 28078","8522 SUMMERFIELD LN, HUNTERSVILLE, NC 28078-6864",0.0
"12614 HOLLYHOCK LN, HUNTERSVILLE, NC 28078","12614 HOLLYHOCK LN, HUNTERSVILLE, NC 28078-6859",0.0
"12902 FALLCROSS CT, HUNTERSVILLE, NC 28078","12902 FALLCROSS CT, HUNTERSVILLE, NC 28078-6857",0.0
"8433 TATEBROOK LN, HUNTERSVILLE, NC 28078","8433 TATEBROOK LN, HUNTERSVILLE, NC 28078-6855",0.0
"11940 CRABAPPLE LN, HUNTERSVILLE, NC 28078","12006 CRABAPPLE LN, HUNTERSVILLE, NC 28078-7333",0.0
"9020 OLD BARNETTE PL, HUNTERSVILLE, NC 28078","9020 OLD BARNETTE PL, HUNTERSVILLE, NC 28078-8161",0.0
"9218 AGNES PARK LN, HUNTERSVILLE, NC 28078","5001 PLAZA ON THE LK Unit 200, AUSTIN, TX 78746-1053",1176.0
"GILEAD RD, HUNTERSVILLE, NC 28078","600 E 4TH ST, CHARLOTTE, NC 28202-2816",15.7
"9132 BERTRAM CT, HUNTERSVILLE, NC 28078","9132 BERTRAM CT, HUNTERSVILLE, NC 28078-9184",0.0
"9101 AGNES PARK LN, HUNTERSVILLE, NC 28078","1850 PARKWAY PL SE Unit 900, MARIETTA, GA 30067-8261",252.0
"9020 AGNES PARK LN, HUNTERSVILLE, NC 28078","9020 AGNES PARK LN, HUNTERSVILLE, NC 28078-9178",0.0
"9140 AGNES PARK LN, HUNTERSVILLE, NC 28078","9140 AGNES PARK LN, HUNTERSVILLE, NC 28078-8390",0.0
"8736 NEW OAK LN, HUNTERSVILLE, NC 28078","1850 PARKWAY PL SE Unit 900, MARIETTA, GA 30067-8261",252.0
"8802 DOE PATH LN, HUNTERSVILLE, NC 28078","6068 TOWNCENTER CIR, NAPLES, FL 34119-9556",743.0
"8600 DOE PATH LN, HUNTERSVILLE, NC 28078","8600 DOE PATH LN, HUNTERSVILLE, NC 28078-8133",0.0
"9100 TORRENCE CROSSING DR, HUNTERSVILLE, NC 28078","9100 TORRENCE CROSSING DR, HUNTERSVILLE, NC 28078-8128",0.0
"12804 ANGEL OAK DR, HUNTERSVILLE, NC 28078","12804 ANGEL OAK DR, HUNTERSVILLE, NC 28078-7853",0.0
"12628 ANGEL OAK DR, HUNTERSVILLE, NC 28078","12628 ANGEL OAK DR, HUNTERSVILLE, NC 28078-7851",0.0
"7723 COALCLIFF DR, HUNTERSVILLE, NC 28078","7723 COALCLIFF DR, HUNTERSVILLE, NC 28078-7821",0.0
"5120 INGLEBURN LN, HUNTERSVILLE, NC 28078","5120 INGLEBURN LN, HUNTERSVILLE, NC 28078-7760",0.0
"12720 HOLLYHOCK LN, HUNTERSVILLE, NC 28078","4910 SW 87TH CT, MIAMI, FL 33165-6707",752.0
"8627 SUMMERFIELD LN, HUNTERSVILLE, NC 28078","8627 SUMMERFIELD LN, HUNTERSVILLE, NC 28078-6865",0.0
"8407 SUMMERFIELD LN, HUNTERSVILLE, NC 28078","8407 SUMMERFIELD LN, HUNTERSVILLE, NC 28078-6863",0.0
"8624 NEW OAK LN, HUNTERSVILLE, NC 28078","658 NORMANDY RD, MOORESVILLE, NC 28117-8435",21.0
"12731 HOLLYHOCK LN, HUNTERSVILLE, NC 28078","12731 HOLLYHOCK LN, HUNTERSVILLE, NC 28078-6860",0.0
"12519 ANGEL OAK DR, HUNTERSVILLE, NC 28078","12519 ANGEL OAK DR, HUNTERSVILLE, NC 28078-7850",0.0
"12127 MOONSHADOW LN, HUNTERSVILLE, NC 28078","12127 MOONSHADOW LN, HUNTERSVILLE, NC 28078-6858",0.0
"GILEAD RD, HUNTERSVILLE, NC 28078","600 E 4TH ST, CHARLOTTE, NC 28202-2816",15.7
"8801 GILEAD RD, HUNTERSVILLE, NC 28078","8801 GILEAD RD, HUNTERSVILLE, NC 28078-7431",0.0
"INGLEBURN LN, HUNTERSVILLE, NC 28078","11906 PO BOX, CHARLOTTE, NC 28220-1906",23.3
"8531 FOX TAIL LN, HUNTERSVILLE, NC 28078","8531 FOX TAIL LN, HUNTERSVILLE, NC 28078-4507",0.0
"8516 SUMMERFIELD LN, HUNTERSVILLE, NC 28078","8516 SUMMERFIELD LN, HUNTERSVILLE, NC 28078-6864",0.0
"8900 NEW OAK LN, HUNTERSVILLE, NC 28078","8900 NEW OAK LN, HUNTERSVILLE, NC 28078-8316",0.0
"9113 NEW OAK LN, HUNTERSVILLE, NC 28078","9113 NEW OAK LN, HUNTERSVILLE, NC 28078-8319",0.0
"9107 NEW OAK LN, HUNTERSVILLE, NC 28078","9101 NEW OAK LN, HUNTERSVILLE, NC 28078-8319",0.0
"8519 FOX TAIL LN, HUNTERSVILLE, NC 28078","8519 FOX TAIL LN, HUNTERSVILLE, NC 28078-4507",0.0
"12027 CRABAPPLE LN, HUNTERSVILLE, NC 28078","7720 MT HOLLY HUNTERSVILLE RD, CHARLOTTE, NC 28216-8714",5.9
"12533 TREASURE CV, HUNTERSVILLE, NC 28078","8703 MCILWAINE RD, HUNTERSVILLE, NC 28078-6961",0.2
"8539 NEW OAK LN, HUNTERSVILLE, NC 28078","8539 NEW OAK LN, HUNTERSVILLE, NC 28078-7100",0.0
"8503 NEW OAK LN, HUNTERSVILLE, NC 28078","8503 NEW OAK LN, HUNTERSVILLE, NC 28078-7100",0.0
"8901 NEW OAK LN, HUNTERSVILLE, NC 28078","8901 NEW OAK LN, HUNTERSVILLE, NC 28078-8321",0.0
"12621 BRADFORD HILL LN, HUNTERSVILLE, NC 28078","12621 BRADFORD HILL LN, HUNTERSVILLE, NC 28078-8310",0.0
"MOXON AL, HUNTERSVILLE, NC 28078","13777 BALLANTYNE CORPORATE PL Unit 320, CHARLOTTE, NC 28277-3428",31.2
"MCILWAINE RD, HUNTERSVILLE, NC 28078","213 MAGRUDER PL SE, LEESBURG, VA 20175-4409",391.0
"12029 MCINTOSH RD, HUNTERSVILLE, NC 28078","12029 MCINTOSH RD, HUNTERSVILLE, NC 28078-6966",0.0
"BRAMFIELD DR, HUNTERSVILLE, NC 28078","11906 PO BOX, CHARLOTTE, NC 28220-1906",23.1
"13037 ANGEL OAK DR, HUNTERSVILLE, NC 28078","13037 ANGEL OAK DR, HUNTERSVILLE, NC 28078-9176",0.0
"9209 TORRENCE CROSSING DR, HUNTERSVILLE, NC 28078","9209 TORRENCE CROSSING DR, HUNTERSVILLE, NC 28078-8134",0.0
"9003 OLD BARNETTE PL, HUNTERSVILLE, NC 28078","9003 OLD BARNETTE PL, HUNTERSVILLE, NC 28078-8161",0.0
"9023 OLD BARNETTE PL, HUNTERSVILLE, NC 28078","9023 OLD BARNETTE PL, HUNTERSVILLE, NC 28078-8161",0.0
"8509 SUMMERFIELD LN, HUNTERSVILLE, NC 28078","8509 SUMMERFIELD LN, HUNTERSVILLE, NC 28078-6864",0.0
"8508 NEW OAK LN, HUNTERSVILLE, NC 28078","8508 NEW OAK LN, HUNTERSVILLE, NC 28078-7100",0.0
"8502 NEW OAK LN, HUNTERSVILLE, NC 28078","8502 NEW OAK LN, HUNTERSVILLE, NC 28078-7100",0.0
"8225 DE SOTO AL, HUNTERSVILLE, NC 28078","1717 MAIN ST Unit 2000, DALLAS, TX 75201-4657",1033.0
"9136 BERTRAM CT, HUNTERSVILLE, NC 28078","9136 BERTRAM CT, HUNTERSVILLE, NC 28078-9184",0.0
"13026 ANGEL OAK DR, HUNTERSVILLE, NC 28078","13026 ANGEL OAK DR, HUNTERSVILLE, NC 28078-9172",0.0
"7900 GILEAD RD, HUNTERSVILLE, NC 28078","7900 GILEAD RD, HUNTERSVILLE, NC 28078-9042",0.0
"9222 AGNES PARK LN, HUNTERSVILLE, NC 28078","9200 E HAMPTON DR, CAPITOL HEIGHTS, MD 20743-3820",409.0
"9004 TORRENCE CROSSING DR, HUNTERSVILLE, NC 28078","9004 TORRENCE CROSSING DR, HUNTERSVILLE, NC 28078-8198",0.0
"9002 OLD BARNETTE PL, HUNTERSVILLE, NC 28078","9002 OLD BARNETTE PL, HUNTERSVILLE, NC 28078-8161",0.0
"9032 OLD BARNETTE PL, HUNTERSVILLE, NC 28078","9032 OLD BARNETTE PL, HUNTERSVILLE, NC 28078-8161",0.0
"9117 OLD BARNETTE PL, HUNTERSVILLE, NC 28078","9117 OLD BARNETTE PL, HUNTERSVILLE, NC 28078-8124",0.0
"9123 BERTRAM CT, HUNTERSVILLE, NC 28078","9123 BERTRAM CT, HUNTERSVILLE, NC 28078-8100",0.0
"12721 ANGEL OAK DR, HUNTERSVILLE, NC 28078","12721 ANGEL OAK DR, HUNTERSVILLE, NC 28078-7852",0.0
"12524 ANGEL OAK DR, HUNTERSVILLE, NC 28078","12524 ANGEL OAK DR, HUNTERSVILLE, NC 28078-7850",0.0
"8115 MCILWAINE RD, HUNTERSVILLE, NC 28078","2628 SHADY REACH LN, CHARLOTTE, NC 28214-1655",11.0
"8600 SUMMERFIELD LN, HUNTERSVILLE, NC 28078","8600 SUMMERFIELD LN, HUNTERSVILLE, NC 28078-6865",0.0
"12708 HOLLYHOCK LN, HUNTERSVILLE, NC 28078","12708 HOLLYHOCK LN, HUNTERSVILLE, NC 28078-6860",0.0
"8806 NEW OAK LN, HUNTERSVILLE, NC 28078","8806 NEW OAK LN, HUNTERSVILLE, NC 28078-8315",0.0
"12615 WILD LILAC CT, HUNTERSVILLE, NC 28078","12615 WILD LILAC CT, HUNTERSVILLE, NC 28078-8394",0.0
"14220 ERVIN COOK RD, HUNTERSVILLE, NC 28078","1140 VIRGINIA DR, FORT WASHINGTON, PA 19034-3204",552.0
"OLD STORE RD, HUNTERSVILLE, NC 28078","79032 PO BOX, CHARLOTTE, NC 28271-0030",15.1
"8712 FOX TAIL LN, HUNTERSVILLE, NC 28078","8712 FOX TAIL LN, HUNTERSVILLE, NC 28078-4510",0.0
"8718 FOX TAIL LN, HUNTERSVILLE, NC 28078","8718 FOX TAIL LN, HUNTERSVILLE, NC 28078-4510",0.0
"9036 TORRENCE CROSSING DR, HUNTERSVILLE, NC 28078","9036 TORRENCE CROSSING DR, HUNTERSVILLE, NC 28078-8198",0.0
"8526 FOX TAIL LN, HUNTERSVILLE, NC 28078","30601 AGOURA RD Unit 200, AGOURA HILLS, CA 91301-2148",2457.0
"8826 DOE PATH LN, HUNTERSVILLE, NC 28078","8826 DOE PATH LN, HUNTERSVILLE, NC 28078-8136",0.0
"9125 OLD BARNETTE PL, HUNTERSVILLE, NC 28078","9125 OLD BARNELLE PL, HUNTERSVILLE, NC 28078-8124",0.0
"8603 NEW OAK LN, HUNTERSVILLE, NC 28078","8603 NEW OAK LN, HUNTERSVILLE, NC 28078-8118",0.0
"12718 ANGEL OAK DR, HUNTERSVILLE, NC 28078","12718 ANGEL OAK DR, HUNTERSVILLE, NC 28078-7852",0.0
"8507 LYMAN OAK CT, HUNTERSVILLE, NC 28078","8507 LYMAN OAK CT, HUNTERSVILLE, NC 28078-6873",0.0
"12111 MOONSHADOW LN, HUNTERSVILLE, NC 28078","12111 MOONSHADOW LN, HUNTERSVILLE, NC 28078-6858",0.0
"9208 TORRENCE CROSSING DR, HUNTERSVILLE, NC 28078","9208 TORRENCE CROSSING DR, HUNTERSVILLE, NC 28078-6315",0.0
"12610 HOLLYHOCK LN, HUNTERSVILLE, NC 28078","12610 HOLLYHOCK LN, HUNTERSVILLE, NC 28078-6859",0.0
"12103 MOONSHADOW LN, HUNTERSVILLE, NC 28078","12103 MOONSHADOW LN, HUNTERSVILLE, NC 28078-6858",0.0
"8444 TATEBROOK LN, HUNTERSVILLE, NC 28078","2210 MILL RD Unit 119, ALEXANDRIA, VA 22314",394.0
"9127 BERTRAM CT, HUNTERSVILLE, NC 28078","9127 BERTRAM CT, HUNTERSVILLE, NC 28078-8100",0.0
"9224 AGNES PARK LN, HUNTERSVILLE, NC 28078","422 PO BOX, INDIAN TRAIL, NC 28079-0422",33.2
"9028 AGNES PARK LN, HUNTERSVILLE, NC 28078","9028 AGNES PARK LN, HUNTERSVILLE, NC 28078-9178",0.0
"9011 OLD BARNETTE PL, HUNTERSVILLE, NC 28078","9011 OLD BARNETTE PL, HUNTERSVILLE, NC 28078-8161",0.0
"13328 OLD STORE RD, HUNTERSVILLE, NC 28078","14619 HOLLY SPRINGS DR, HUNTERSVILLE, NC 28078-3271",3.4
"9037 GOLDEN ROCK LN, HUNTERSVILLE, NC 28078","9037 GOLDEN ROCK LN, HUNTERSVILLE, NC 28078-7433",0.0
"7901 GILEAD RD, HUNTERSVILLE, NC 28078","1140 VIRGINIA DR, FORT WASHINGTON, PA 19034-3204",551.0
"14301 ERVIN COOK RD, HUNTERSVILLE, NC 28078","14301 ERVIN COOK RD, HUNTERSVILLE, NC 28078-7552",0.0
"13001 ANGEL OAK DR, HUNTERSVILLE, NC 28078","13001 ANGEL OAK DR, HUNTERSVILLE, NC 28078-9176",0.0
"7913 GILEAD RD, HUNTERSVILLE, NC 28078","1140 VIRGINIA DR, FORT WASHINGTON, PA 19034-3204",551.0
"8933 NEW OAK LN, HUNTERSVILLE, NC 28078","8933 NEW OAK LN, HUNTERSVILLE, NC 28078-8321",0.0
"12511 PECAN HILL CT, HUNTERSVILLE, NC 28078","12511 PECAN HILL CT, HUNTERSVILLE, NC 28078-8130",0.0
"5104 INGLEBURN LN, HUNTERSVILLE, NC 28078","5104 INGLEBURN LN, HUNTERSVILLE, NC 28078-7760",0.0
"7633 GILEAD RD, HUNTERSVILLE, NC 28078","1140 VIRGINIA DR, FORT WASHINGTON, PA 19034-3204",551.0
"7420 GILEAD RD, HUNTERSVILLE, NC 28078","7420 GILEAD RD, HUNTERSVILLE, NC 28078-7533",0.0
"8518 GILEAD RD, HUNTERSVILLE, NC 28078","8516 GILEAD RD, HUNTERSVILLE, NC 28078",3.5
"12119 MOONSHADOW LN, HUNTERSVILLE, NC 28078","12119 MOONSHADOW LN, HUNTERSVILLE, NC 28078-6858",0.0
"13230 OLD STORE RD, HUNTERSVILLE, NC 28078","13230 OLD STORE RD, HUNTERSVILLE, NC 28078-7434",0.0
"8510 FOX TAIL LN, HUNTERSVILLE, NC 28078","8510 FOX TAIL LN, HUNTERSVILLE, NC 28078-4506",0.0
"14036 ERVIN COOK RD, HUNTERSVILLE, NC 28078","1140 VIRGINIA DR, FORT WASHINGTON, PA 19034-3204",551.0
"8512 NEW OAK LN, HUNTERSVILLE, NC 28078","8512 NEW OAK LN, HUNTERSVILLE, NC 28078-7100",0.0
"8524 NEW OAK LN, HUNTERSVILLE, NC 28078","1850 PARKWAY PL SE Unit 900, MARIETTA, GA 30067-8261",252.0
"9017 AGNES PARK LN, HUNTERSVILLE, NC 28078","9017 AGNES PARK LN, HUNTERSVILLE, NC 28078-9180",0.0
"9101 OLD BARNETTE PL, HUNTERSVILLE, NC 28078","214 W 42ND ST, NEW YORK, NY 10036-7202",627.0
"9124 OLD BARNETTE PL, HUNTERSVILLE, NC 28078","410 N SCOTTSDALE RD Unit 1600, TEMPE, AZ 85288-0976",2044.0
"9209 OLD BARNETTE PL, HUNTERSVILLE, NC 28078","9209 OLD BARNETTE PL, HUNTERSVILLE, NC 28078-8366",0.0
"7417 GILEAD RD, HUNTERSVILLE, NC 28078","7417 GILEAD RD, HUNTERSVILLE, NC 28078-7533",0.0
"7619 GILEAD RD, HUNTERSVILLE, NC 28078","7619 GILEAD RD, HUNTERSVILLE, NC 28078-7535",0.0
"13339 OLD STORE RD, HUNTERSVILLE, NC 28078","13339 OLD STORE RD, HUNTERSVILLE, NC 28078-7435",0.0
"13415 OLD STORE RD, HUNTERSVILLE, NC 28078","8811 DEERLAND CT, HUNTERSVILLE, NC 28078-5630",2.5
"9025 NEW OAK LN, HUNTERSVILLE, NC 28078","9025 NEW OAK LN, HUNTERSVILLE, NC 28078-8320",0.0
"12500 CEDARFORD CT, HUNTERSVILLE, NC 28078","12500 CEDARFORD CT, HUNTERSVILLE, NC 28078-7808",0.0
"8500 FOX TAIL LN, HUNTERSVILLE, NC 28078","8500 FOX TAIL LN, HUNTERSVILLE, NC 28078-4506",0.0
