Parcel Number,Ownership Duration,Calculated Acres,County,City,State,Zip Code,Zoning Code,Zoning Type,Land Use,Deeded Acres,Owner Corporate Indicator,Land Square Footage,Census Tract,Mobile Home Indicator,Property Indicator,Out of State Owner,Total Value Calculated,Total Value Per Acre,Assessed Total Value,Market Total Value,Appraised Total Value,Land Value Calculated,Total Land Value Per Acre,Assessed Land Value,Market Land Value,Appraised Land Value,Improvement Value Calculated,Assessed Improvement Value,Market Improvement Value,Appraised Improvement Value,Assessed Improvement Value Ratio,Tax Amount,Tax Year,Assessed Year,Tax Code Area,Document Type,Sale Price,Sale Price Per Acre,1st Mortgage Amount,Mortgage Assumption Amount,2nd Mortgage Amount,Front Footage,Depth Footage,Universal Building Square Feet,Building Square Feet,Living Square Feet,Ground Floor Square Feet,Gross Square Feet,Adjusted Gross Square Feet,Basement Square Feet,Garage/Parking Square Feet,Year Built
13914104,15.0,39.42782534,Mecklenburg,MIDLAND,NC,28107,R,Residential,SFR,37.88, ,1650053,57151009, ,SINGLE FAMILY RESIDENCE,No,891200,22603.32626441,891200,891200,0,755700,19166.66703098,755700,755700,0,135500,135500,135500,0,,5838.19,2023,2023,16,DEED (REG),0,0.0,0,0,0,0,0,1340,1556,1340,1340,0,0,0,0,1953
02323102,6.0,29.24948194,Mecklenburg,CHARLOTTE,NC,28214,R8CD,Residential,SFR,29.31,Yes,1276744,61031038, ,SINGLE FAMILY RESIDENCE,Yes,984800,33668.97239437,984800,984800,0,984800,33668.97239437,984800,984800,0,0,0,0,0,,6673.99,2023,2023,7,WARRANTY DEED,1400000,47864.09560531,1225000,0,535000,0,0,0,0,0,0,0,0,0,0,0
01917104,15.0,33.55061315,Mecklenburg,HUNTERSVILLE,NC,28078,TR,Residential,SFR,33.554,Yes,1461612,63072003, ,SINGLE FAMILY RESIDENCE,No,1761000,52487.86340501,1761000,1761000,0,1567900,46732.37991636,1567900,1567900,0,193100,193100,193100,0,,11586.09,2023,2023,12,SPECIAL WARRANTY DEED,5561000,165749.57887295,0,0,0,0,0,1600,3298,1600,1369,0,0,1218,450,1987
01501114,15.0,16.13275815,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,SFR,16.44,Yes,716126,62231010, ,SINGLE FAMILY RESIDENCE,Yes,746222,46255.07882205,746222,746222,0,746222,46255.07882205,746222,746222,0,0,0,0,0,,65.57,2023,2023,4,WARRANTY DEED,740000,45869.40391508,350000,0,0,0,0,0,0,0,0,0,0,0,0,0
13518104,15.0,10.31573391,Mecklenburg,MATTHEWS,NC,28105,R,Residential,SFR,10.922,Yes,475762,57101010, ,SINGLE FAMILY RESIDENCE,No,610500,59181.44123706,610500,610500,0,531600,51532.93064967,531600,531600,0,78900,78900,78900,0,,0.0,0,2023,17,WARRANTY DEED,180000,17449.07358341,140000,0,0,0,0,916,1220,916,916,0,0,0,0,1900
13934299,15.0,17.74275011,Mecklenburg,CHARLOTTE,NC,28227,R,Residential,SFR,18.13, ,789743,56213007, ,SINGLE FAMILY RESIDENCE,No,434000,24460.69506636,434000,434000,0,434000,24460.69506636,434000,434000,0,0,0,0,0,,2821.43,2023,2023,16,WARRANTY DEED,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00503204,0.0,13.50400072,Mecklenburg,CORNELIUS,NC,28031,NR,Residential,AGRICULTURAL (NEC),14.67,Yes,639025,64071042, ,AGRICULTURAL,No,1432314,106065.90070437,1432314,1432314,0,1432314,106065.90070437,1432314,1432314,0,0,0,0,0,,0.0,0,2023,27,WARRANTY DEED,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01128108,15.0,32.64550979,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,FOREST,30.71, ,1337728,63101000, ,AGRICULTURAL,No,642926,19694.16327392,642926,642926,0,539226,16517.61615729,539226,539226,0,103700,103700,103700,0,,1769.99,2023,2023,12,WARRANTY DEED,57000,1746.0287912,0,0,0,0,0,1424,1424,1168,1168,0,0,0,0,1906
01127107,15.0,16.48826453,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,SFR,16.49,Yes,718304,63101004, ,SINGLE FAMILY RESIDENCE,No,1042500,63226.78763047,1042500,1042500,0,1042500,63226.78763047,1042500,1042500,0,0,0,0,0,,0.0,0,2023,12,WARRANTY DEED,1416500,85909.58722164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01512108,2.0,18.85480016,Mecklenburg,HUNTERSVILLE,NC,28078,TR,Residential,SFR,18.48,Yes,804989,62231000, ,SINGLE FAMILY RESIDENCE,No,1216200,64503.46808205,1216200,1216200,0,1216200,64503.46808205,1216200,1216200,0,0,0,0,0,,0.0,0,2023,4,SPECIAL WARRANTY DEED,1925000,102096.0171501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00727115,15.0,39.0786233,Mecklenburg,DAVIDSON,NC,28036,RPA,Residential,RURAL HOMESITE,32.32, ,1407859,64042013, ,SINGLE FAMILY RESIDENCE,No,3210653,82158.80521665,3210653,3210653,0,3202553,81951.53077053,3202553,3202553,0,8100,8100,8100,0,,1939.4,2023,2023,23,WARRANTY DEED,0,0.0,0,0,0,0,0,1546,1904,1546,1546,0,0,0,0,1936
13702667,15.0,22.16153175,Mecklenburg,CHARLOTTE,NC,28227,R,Residential,SFR,23.75,Yes,1034550,57181000, ,SINGLE FAMILY RESIDENCE,No,1130500,51011.8168969,1130500,1130500,0,1130500,51011.8168969,1130500,1130500,0,0,0,0,0,,7892.03,2023,2023,17,SPECIAL WARRANTY DEED,800000,36098.58780851,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13543359,1.0,11.84574907,Mecklenburg,MATTHEWS,NC,28105,R,Residential,SFR,11.818,Yes,514792,57101010, ,SINGLE FAMILY RESIDENCE,No,791600,66825.66004456,791600,791600,0,571500,48245.15502207,571500,571500,0,220100,220100,220100,0,,0.0,0,2023,17,WARRANTY DEED,885000,74710.34504729,0,0,0,0,0,2518,2896,2518,1392,0,0,0,0,1900
