House to Lot Ratio (Bottom),House to Lot Ratio (Top),Acres (Bottom),Acres (Top),VDL Sale Price (Bottom),VDL Sale Price (Top),Records Used,R^2 Test,MSE Test
0.01,0.2,0.01,0.01,0.01,0.2,14146,0.8158202332319906,5.657173284315931
0.01,0.2,0.01,0.05,0.01,0.01,14796,0.8347351153034229,5.153987063432
0.01,0.2,0.01,0.05,0.01,0.05,14621,0.8383541171818105,4.590639021157356
0.01,0.2,0.01,0.05,0.01,0.1,14341,0.8343108897353398,4.995269892824582
0.01,0.2,0.01,0.05,0.01,0.15,14142,0.8378201329535125,4.908002234295356
0.01,0.2,0.01,0.05,0.01,0.2,13959,0.8179556809409163,5.792746230251545
0.01,0.2,0.01,0.1,0.01,0.01,14700,0.8290729415709684,4.969744085208842
0.01,0.2,0.01,0.1,0.01,0.05,14531,0.850322117067719,4.4545986853671735
0.01,0.2,0.01,0.1,0.01,0.1,14236,0.8454054382672198,4.74191325876952
0.01,0.2,0.01,0.1,0.01,0.15,14062,0.8249954074461379,5.448623251726086
0.01,0.2,0.01,0.1,0.01,0.2,13881,0.8544149971105518,4.384201614904314
0.01,0.2,0.01,0.15,0.01,0.01,14614,0.8382376206780131,4.766431221876721
0.01,0.2,0.01,0.15,0.01,0.05,14438,0.8287122376644375,5.174093021394775
0.01,0.2,0.01,0.15,0.01,0.1,14159,0.8330008606036254,5.027227214026464
0.01,0.2,0.01,0.15,0.01,0.15,13991,0.8303987962284329,4.860327622678203
0.01,0.2,0.01,0.15,0.01,0.2,13812,0.845653473217302,4.848021205347451
0.01,0.2,0.01,0.2,0.01,0.01,14508,0.8308072753728919,5.430041087039606
0.01,0.2,0.01,0.2,0.01,0.05,14333,0.8545701106446958,4.521069422516743
0.01,0.2,0.01,0.2,0.01,0.1,14059,0.8501389996911494,4.659250366033686
0.01,0.2,0.01,0.2,0.01,0.15,13894,0.8372177673391048,5.116288292765724
0.01,0.2,0.01,0.2,0.01,0.2,13715,0.8364112230401664,5.044406327782493
0.01,0.01,0.01,0.01,0.05,0.01,16273,0.7550049510085438,89.09029046350993
0.01,0.01,0.01,0.01,0.05,0.05,16055,0.7324197542125039,78.83395605200165
0.01,0.01,0.01,0.01,0.05,0.1,15720,0.7472490209811673,93.41458181962473
0.01,0.01,0.01,0.01,0.05,0.15,15537,0.7045090532755967,101.46513961565854
0.01,0.01,0.01,0.01,0.05,0.2,15330,0.7903862824472226,51.322694163818575
0.01,0.01,0.01,0.05,0.05,0.01,16008,0.699172122382363,82.25415014239725
0.01,0.01,0.01,0.05,0.05,0.05,15815,0.7011156008259678,92.11417549202429
0.01,0.01,0.01,0.05,0.05,0.1,15496,0.7554255096593643,69.19288757114192
0.01,0.01,0.01,0.05,0.05,0.15,15321,0.7000572359137114,99.85750051468655
0.01,0.01,0.01,0.05,0.05,0.2,15137,0.6460215288078739,116.95753217001273
0.01,0.01,0.01,0.1,0.05,0.01,15905,0.6799927804132953,101.19638305369027
0.01,0.01,0.01,0.1,0.05,0.05,15718,0.7463080896451796,74.06461038792608
0.01,0.01,0.01,0.1,0.05,0.1,15412,0.8056122133146286,53.71379238800243
0.01,0.01,0.01,0.1,0.05,0.15,15239,0.7032869157946511,96.68269293894618
0.01,0.01,0.01,0.1,0.05,0.2,15055,0.6933123439998239,89.46935339972794
0.01,0.01,0.01,0.15,0.05,0.01,15811,0.7458835374266521,82.96035121430592
0.01,0.01,0.01,0.15,0.05,0.05,15627,0.6977925427405369,97.3908868004617
0.01,0.01,0.01,0.15,0.05,0.1,15323,0.69085736251093,118.1587543084868
0.01,0.01,0.01,0.15,0.05,0.15,15153,0.7124126525073458,94.19072142141296
0.01,0.01,0.01,0.15,0.05,0.2,14977,0.6844782001795799,95.36175595437356
0.01,0.01,0.01,0.2,0.05,0.01,15702,0.7322810402920872,87.01767323498512
0.01,0.01,0.01,0.2,0.05,0.05,15519,0.8090410042734061,57.04647431460568
0.01,0.01,0.01,0.2,0.05,0.1,15218,0.7135158391595343,90.01724534958241
0.01,0.01,0.01,0.2,0.05,0.15,15053,0.628803704062062,121.55066001170587
0.01,0.01,0.01,0.2,0.05,0.2,14869,0.7312460449189536,89.45123804926291
0.01,0.05,0.01,0.01,0.05,0.01,16189,0.8644927795202465,27.10304477640607
0.01,0.05,0.01,0.01,0.05,0.05,15971,0.8425067269817593,29.359962270858016
0.01,0.05,0.01,0.01,0.05,0.1,15636,0.8531117098565404,32.37138087446156
0.01,0.05,0.01,0.01,0.05,0.15,15455,0.8264817827001609,36.4405929846632
0.01,0.05,0.01,0.01,0.05,0.2,15247,0.8442829429174534,32.38307023213942
0.01,0.05,0.01,0.05,0.05,0.01,15928,0.8443510300060684,28.767832391334323
0.01,0.05,0.01,0.05,0.05,0.05,15735,0.8671547384118553,28.84296722512892
0.01,0.05,0.01,0.05,0.05,0.1,15416,0.82227824927194,33.35464333046471
0.01,0.05,0.01,0.05,0.05,0.15,15268,0.879888259639333,19.39836233482826
0.01,0.05,0.01,0.05,0.05,0.2,15058,0.8641061671375575,24.439985021790054
0.01,0.05,0.01,0.1,0.05,0.01,15825,0.8199607807185764,35.48296972493378
0.01,0.05,0.01,0.1,0.05,0.05,15639,0.8424922183458514,30.18441077018404
0.01,0.05,0.01,0.1,0.05,0.1,15332,0.8647919546625714,23.29279604852326
0.01,0.05,0.01,0.1,0.05,0.15,15160,0.8470775251193465,26.672469420823653
0.01,0.05,0.01,0.1,0.05,0.2,14976,0.8227757970010713,32.58593328242543
0.01,0.05,0.01,0.15,0.05,0.01,15734,0.8445241951371738,30.178047946971013
0.01,0.05,0.01,0.15,0.05,0.05,15550,0.8659306933533245,26.38228947430799
0.01,0.05,0.01,0.15,0.05,0.1,15246,0.8724653993928737,24.569788840623637
0.01,0.05,0.01,0.15,0.05,0.15,15081,0.8138555362678905,30.608497233711386
0.01,0.05,0.01,0.15,0.05,0.2,14901,0.8002348032238615,37.9767455776226
0.01,0.05,0.01,0.2,0.05,0.01,15622,0.8704256842215053,24.510918630619653
0.01,0.05,0.01,0.2,0.05,0.05,15439,0.8557587525492544,30.76214380912742
0.01,0.05,0.01,0.2,0.05,0.1,15138,0.854799188248889,26.73295490586781
0.01,0.05,0.01,0.2,0.05,0.15,14974,0.8373195579170377,29.885772067664245
0.01,0.05,0.01,0.2,0.05,0.2,14803,0.8653029001861694,25.748320137241496
0.01,0.1,0.01,0.01,0.05,0.01,15779,0.8026548154293086,17.555465509121852
0.01,0.1,0.01,0.01,0.05,0.05,15565,0.8307717735925725,15.975891767072316
0.01,0.1,0.01,0.01,0.05,0.1,15227,0.8401821843014099,14.663871679833308
0.01,0.1,0.01,0.01,0.05,0.15,15045,0.8291894626249312,15.250584480073684
0.01,0.1,0.01,0.01,0.05,0.2,14838,0.8349613513998122,15.24959885913009
0.01,0.1,0.01,0.05,0.05,0.01,15540,0.8205108136563881,16.39823676985461
0.01,0.1,0.01,0.05,0.05,0.05,15351,0.8557906498867145,13.489215017194539
0.01,0.1,0.01,0.05,0.05,0.1,15048,0.8173545454105787,15.143433796543418
0.01,0.1,0.01,0.05,0.05,0.15,14881,0.8157261834668804,14.51428761246632
0.01,0.1,0.01,0.05,0.05,0.2,14670,0.8268470343806953,15.711273810270566
0.01,0.1,0.01,0.1,0.05,0.01,15441,0.7837978936264659,18.51668314283489
0.01,0.1,0.01,0.1,0.05,0.05,15255,0.8518129971772378,13.72140274284913
0.01,0.1,0.01,0.1,0.05,0.1,14967,0.858868264910578,12.42315432387951
0.01,0.1,0.01,0.1,0.05,0.15,14802,0.8111057269355606,17.51512008250783
0.01,0.1,0.01,0.1,0.05,0.2,14591,0.8310397984918817,14.202708221447823
0.01,0.1,0.01,0.15,0.05,0.01,15347,0.8140466434716711,17.144666527328344
0.01,0.1,0.01,0.15,0.05,0.05,15164,0.828469790154043,14.463168582714255
0.01,0.1,0.01,0.15,0.05,0.1,14863,0.861427686487824,11.833703693108408
0.01,0.1,0.01,0.15,0.05,0.15,14721,0.8305828451810298,14.397127588651726
0.01,0.1,0.01,0.15,0.05,0.2,14513,0.8387121390102799,15.061676805226188
0.01,0.1,0.01,0.2,0.05,0.01,15238,0.8495021680750372,12.448486398539432
0.01,0.1,0.01,0.2,0.05,0.05,15055,0.8147669126609081,14.991479271863135
0.01,0.1,0.01,0.2,0.05,0.1,14762,0.8257081259856149,15.016903427694139
0.01,0.1,0.01,0.2,0.05,0.15,14599,0.8158708862137771,16.312173709461486
0.01,0.1,0.01,0.2,0.05,0.2,14419,0.8510007900900205,12.497596654095755
0.01,0.15,0.01,0.01,0.05,0.01,15473,0.8056437039701969,10.789870570900147
0.01,0.15,0.01,0.01,0.05,0.05,15266,0.8120216793434727,10.301250765943715
0.01,0.15,0.01,0.01,0.05,0.1,14947,0.8352525465456668,8.978062853333089
0.01,0.15,0.01,0.01,0.05,0.15,14739,0.8213397012322485,9.749549794102268
0.01,0.15,0.01,0.01,0.05,0.2,14560,0.8061610802817358,10.29230290196362
0.01,0.15,0.01,0.05,0.05,0.01,15243,0.825343780580576,9.759056462327976
0.01,0.15,0.01,0.05,0.05,0.05,15058,0.8257263089227657,8.841003800402211
0.01,0.15,0.01,0.05,0.05,0.1,14762,0.8261694243171762,8.638595445194033
0.01,0.15,0.01,0.05,0.05,0.15,14583,0.8323607427658914,8.23697363395062
